id,title,description,date_created,date_modified,date_published,doi,tags,preprint_link,contributors,subjects,matching_terms
a3yjz_v1,Examining the impact of a brief compassion focused intervention on everyday experiences of compassion in autistic adults through psychophysiology and experience sampling,"Autistic adults experience greater rates of anxiety and depression compared to the general population. Compassion-focused therapy interventions, ai...",2024-09-25T05:42:01.212082,2024-09-25T05:48:41.207685,2024-09-25T05:48:23.599668,,"Autism, Compassion, Compassion Focused Therapy, Experience Sampling, HRV, Psychophysiology",https://osf.io/preprints/psyarxiv/a3yjz_v1/,N/A,N/A,"autis, adult"
ktswr_v1,Centrality of touch avoidance in social touch experiences in autism,Social touch is ubiquitous in social species and it represents an important driving force of human development. Mounting evidence suggests that soc...,2024-09-10T12:23:43.352954,2024-09-13T08:42:14.828660,2024-09-10T12:35:38.493325,,,https://osf.io/preprints/psyarxiv/ktswr_v1/,N/A,N/A,autis
kn4wj_v1,"“With the system as it is, I honestly don't know there's anything available that would help me”: COVID-19 experiences for autistic and non-autistic adults with pre-existing mental health concerns.","Objective: Widespread mental health impacts occurred early in the COVID-19 pandemic, especially for those with pre-existing mental health condition...",2024-09-08T23:33:33.248653,2024-09-08T23:57:54.326068,2024-09-08T23:36:50.515514,,"COVID-19, Mental Health, Autism, Neurodivergence, Mental Healthcare, Telehealth",https://osf.io/preprints/psyarxiv/kn4wj_v1/,N/A,N/A,"autis, ehealth, adult"
cs9p8_v1,"“With the system as it is, I honestly don't know there's anything available that would help me”: COVID-19 experiences for autistic and non-autistic adults with pre-existing mental health concerns.","Objective: Widespread mental health impacts occurred early in the COVID-19 pandemic, especially for those with pre-existing mental health condition...",2024-08-29T23:44:03.825785,2024-09-06T08:22:37.349783,2024-08-30T03:40:27.117510,,"COVID-19, Mental Health, Autism, Neurodivergence, Mental Healthcare, Telehealth",https://osf.io/preprints/psyarxiv/cs9p8_v1/,N/A,N/A,"autis, ehealth, adult"
t7j9b_v1,The Efficacy and Generalisability of Emotion Recognition Interventions for Autistic Children and Adolescents: A Systematic Review,Emotion recognition (ER) skills have been hypothesised as a potential contributing factor to differences in social communication skills between aut...,2024-08-22T08:19:37.004068,2024-08-22T09:58:21.435337,2024-08-22T08:50:14.398732,,"autism, emotion recognition, intervention, neurodiversity",https://osf.io/preprints/psyarxiv/t7j9b_v1/,N/A,N/A,"autis, adolescen"
q4n7z_v1,Intact Representation of Vocal Smile in Autism: A reverse correlation approach,"Atypical emotional prosody production and perception have been reported in autism. However, it is unclear whether these particularities are associa...",2024-08-13T07:00:29.926668,2025-04-14T06:37:21.056352,2024-08-13T07:11:00.714751,10.1016/j.reia.2025.202599,"Autism, emotional prosody, internal noise, reverse correlation, vocal smile",https://osf.io/preprints/psyarxiv/q4n7z_v1/,N/A,N/A,"autis, app"
34p7d_v1,Consensus on High-Priority Outcomes to Be Used in the Evaluation of Services for Autistic Adults: Results from a CBPR-Nested Delphi Process,"People are increasingly recognizing the need for service interventions to improve the lives of autistic adults. However, less is known about how to...",2024-08-06T13:27:32.512398,2024-11-23T00:43:37.265738,2024-08-06T15:45:25.422601,,,https://osf.io/preprints/psyarxiv/34p7d_v1/,N/A,N/A,"autis, adult"
rt45x_v1,"Hypersensitivity to Noise and Light: A Multifactorial Framework of Attention, Personality, and Mood",Sensory hypersensitivity (SHS) has been associated with mental health problems and difficulties in daily life. To better understand the concept of ...,2024-08-01T06:16:34.261906,2024-08-01T06:35:23.964664,2024-08-01T06:23:44.834009,,"attention, individual differences, mood, personality, sensory hypersensitivity",https://osf.io/preprints/psyarxiv/rt45x_v1/,N/A,N/A,
evmb8_v1,Cross-neurotype communication from an autistic point of view: insights on autistic Theory of Mind from a focus group study,Background. The conceptualization of autism as a disorder where Theory of Mind (ToM) and pragmatics are fundamentally impaired has prompted a wealt...,2024-07-26T18:17:30.232052,2024-07-31T16:23:27.066603,2024-07-26T18:57:11.671840,10.1111/1460-6984.13095,"Autism, Double Empathy, Pragmatics, Theory of Mind",https://osf.io/preprints/psyarxiv/evmb8_v1/,N/A,N/A,autis
uyr62_v1,Autistic and non-autistic people have similar perceptions of musical emotions but use different cognitive processing,"Theory and research on autistic people’s perceived emotions in music is mixed. Results on this topic vary based on the methods used, are heavily re...",2024-07-16T23:27:30.713408,2024-07-16T23:34:41.885741,2024-07-16T23:34:26.945168,,"autism, AVD model, emotion, empathizing-systemizing (E-S) theory, music perception, preferences, systemizing mechanism",https://osf.io/preprints/psyarxiv/uyr62_v1/,N/A,N/A,autis
smzfx_v1,Wearable sensors can track social interaction  in groups of autistic and non-autistic children,"People often spontaneously synchronise with one other during social interactions, but this synchrony may be weaker in autism. There are few method...",2024-07-16T21:13:34.144236,2025-03-19T23:03:01.236641,2024-07-16T21:24:47.384055,,"autism, children, coordination, interpersonal, school, social interaction, synchrony",https://osf.io/preprints/psyarxiv/smzfx_v1/,N/A,N/A,autis
gwufq_v1,Using Psychoacoustic Tasks and Multidimensional Questionnaires to Characterize Auditory Hyperreactivity in Autistic Young People,"Purpose: Prior studies of auditory hyperreactivity in autism have often not distinguished between different aspects of auditory sensory discomfort,...",2024-07-11T07:32:37.064381,2024-07-11T07:50:01.023574,2024-07-11T07:49:27.923473,,,https://osf.io/preprints/psyarxiv/gwufq_v1/,N/A,N/A,"autis, young people"
xv2w9_v1,"The Overlap of Disordered Eating, Autism and ADHD: Future Research Priorities as Identified by Adults with Lived Experience",The focus of mental health research in emerging fields should be driven by the priorities of people with lived experience. Autism and ADHD are chil...,2024-07-02T16:11:01.624644,2024-07-04T14:22:03.038964,2024-07-04T08:50:51.532172,,"ADHD, autism, eating disorder",https://osf.io/preprints/psyarxiv/xv2w9_v1/,N/A,N/A,"adhd, autis, adult"
p2tdy_v1,Self-reported Social Camouflaging in Sexual Minority and Heterosexual Autistic Adults,Social camouflaging can include suppressing or concealing certain behaviors to appear “non-autistic” and is one response to the excess social stres...,2024-06-04T14:24:21.313410,2024-06-04T23:33:20.768704,2024-06-04T14:30:47.051419,,"autism, camouflaging, minority stress, sexual minority",https://osf.io/preprints/psyarxiv/p2tdy_v1/,N/A,N/A,"autis, app, adult"
qc5un_v1,A multi-method approach fo the identification of social functioning profiles in autistic adolescents and young adults without intellectual disability,"Purpose: Given the diverse nature of the autism spectrum and the complex, context-dependent nature of Social Functioning (SF), this study aims to ...",2024-06-04T07:35:02.436859,2024-11-21T18:47:03.060628,2024-06-04T11:59:31.629317,,"autism spectrum disorder, heterogeneity, latent profile analysis, multi-method approach, neurodevelopmental disorder, Social functioning",https://osf.io/preprints/psyarxiv/qc5un_v1/,N/A,N/A,"autis, app, adult, adolescen"
gfaeq_v1,Psychometric evaluation of the Comprehensive Autistic Trait Inventory (CATI) in autistic and non-autistic adults,"Measures of autistic traits are only useful — for pre-diagnostic screening, exploring individual differences, and gaining personal insight — if the...",2024-05-15T09:54:54.417233,2024-12-16T00:01:03.455009,2024-05-15T10:00:07.900015,,,https://osf.io/preprints/psyarxiv/gfaeq_v1/,N/A,N/A,"autis, adult"
m97gx_v1,Harnessing Linguistic Analysis for ADHD Diagnosis Support: A Stylometric Approach to Self-Defining Memories,This study explores the potential of stylometric analysis in identifying Self-Defining Memories (SDMs) authored by individuals with Attention-Defic...,2024-04-24T16:20:45.691999,2024-06-20T14:39:56.368791,2024-04-24T16:24:41.667442,,"ADHD, Natural Language Processing, Psycholinguistics, stylometry",https://osf.io/preprints/psyarxiv/m97gx_v1/,N/A,N/A,"adhd, app"
u5w7a_v1,"“It's a long process, and it's a long journey”: Autistic adult’s experiences of support and recovery after experiencing intimate violence and abuse","Background: Many services designed to support victim/survivors of intimate partner violence (IPV) do not have a specific focus on, or understanding...",2024-04-10T07:26:14.080456,2024-06-20T14:41:59.713273,2024-04-10T07:28:15.034492,,"Abuse, Autism, Coercive control, Intimate partner violence",https://osf.io/preprints/psyarxiv/u5w7a_v1/,N/A,N/A,"autis, adult"
gqtzu_v1,“It's not a physical prison but you can't get out”. How autistic adults make sense of the experience of intimate violence and abuse,"Background: Autistic people are more likely to experience intimate partner violence (IPV) than non-autistic peers, but our knowledge about how they...",2024-04-10T07:20:10.089104,2024-06-20T14:41:58.732331,2024-04-10T07:24:54.009163,,"Abuse, Autism, Coercive control, Intimate partner violence",https://osf.io/preprints/psyarxiv/gqtzu_v1/,N/A,N/A,"autis, adult"
udgp6_v1,Insights into Sensory and Relaxation Preferences to Inform the Design of Sensory Rooms for Autistic Adults,Abstract Background: Sensory rooms provide a therapeutic environment designed to stimulate and balance an individual’s sensory experiences. Equippe...,2024-02-28T08:28:21.888809,2024-06-20T15:27:34.359730,2024-02-28T08:40:38.666147,,"Autism, Autistic Adults, person-centered design, qualitative analysis, relaxation, Sensory preferences, Sensory room",https://osf.io/preprints/psyarxiv/udgp6_v1/,N/A,N/A,"autis, adult"
58uwj_v1,Professionals’ perspectives on neurodiversity-affirmative autism diagnostic assessment,Autism diagnostic assessment for children and young people tends to focus on within-individual ‘deficits’ and non-autistic interpretation of observ...,2024-02-27T11:53:40.234566,2024-06-20T15:22:59.203033,2024-02-27T12:01:32.865870,,"Assessment, Autism, Diagnosis, Neurodiversity",https://osf.io/preprints/psyarxiv/58uwj_v1/,N/A,N/A,"autis, young people"
rzxqm_v1,Exploring the friendship experiences of autistic children in mainstream primary school,"Background &amp; Aims: Autistic children can experience challenges in making and maintaining friendships, and middle childhood (ages 6-12) may be ...",2024-02-16T10:19:38.201512,2024-11-07T15:30:04.424098,2024-02-16T10:21:52.977518,,"Autism, Creative Methods, Friendships, Gender Differences, Qualitative Research, Special Education",https://osf.io/preprints/psyarxiv/rzxqm_v1/,N/A,N/A,autis
zw92a_v1,How do autistic adults experience ageing? A qualitative interview study,"Background Despite increasing numbers of people aging with autism, little is known about the ageing experiences and support needs of middle-aged an...",2024-02-07T09:02:16.927137,2024-06-20T15:26:46.703052,2024-02-07T09:08:50.416707,,"ageing support, ageing well, middle-aged autistic adults, older-aged autistic adults",https://osf.io/preprints/psyarxiv/zw92a_v1/,N/A,N/A,"autis, adult"
bc6ym_v1,Central Sensitivity Symptoms and Autistic Traits in Autistic and non-Autistic Adults,Central sensitivity syndromes (CSS) are a group of related conditions thought to include an underlying sensitisation of the central nervous system....,2024-02-02T15:44:29.758752,2024-06-20T15:26:06.747881,2024-02-02T20:03:57.339080,,,https://osf.io/preprints/psyarxiv/bc6ym_v1/,N/A,N/A,"autis, adult"
vfte9_v1,Invariant response to faces in ASD: unexpected trajectory of oculo-pupillometric biomarkers from childhood to adulthood,"Human faces contain a large amount of information, attracting our attention and inducing physiological engagement. Attraction to human faces can be...",2024-01-24T08:31:49.159908,2024-06-20T15:11:23.256102,2024-01-24T08:45:03.668564,,"Autism Spectrum Disorder, Development, Emotion, Eye tracking, Face processing, Oculometry, Pupillometry, Social",https://osf.io/preprints/psyarxiv/vfte9_v1/,N/A,N/A,"autis, asd, adult"
4dxrt_v1,Use of a PECS-based Electronic Communication Application in Working with Children with Developmental Disabilities. Case Study,Objectives. The use of alternative and augmented communication in children and adults with developmental disabilities significantly improves the sk...,2024-01-19T08:31:31.067554,2024-06-20T15:22:39.555689,2024-01-19T08:35:29.309961,,,https://osf.io/preprints/psyarxiv/4dxrt_v1/,N/A,N/A,"app, adult"
zm76n_v1,Experiences of Friendships Among Autistic Children in UK Schools: A Qualitative Meta-Synthesis.,Friendships can be difficult for autistic children and therefore understanding their experiences is necessary to support successful and meaningful ...,2024-01-09T12:09:31.665167,2024-11-07T15:24:44.426070,2024-01-09T12:13:41.920747,,"Autism, Friendship, Qualitative, Special Education, Systematic Review",https://osf.io/preprints/psyarxiv/zm76n_v1/,N/A,N/A,autis
38sr6_v1,Sounding the Alarm: Calling on Service Providers to Reduce Disparities in Autism Services for Latinos.,"Latinos have seen a 30% increase in autism spectrum disorder (ASD) since 2018. However, Latino children are diagnosed later and remain underdiagnos...",2024-01-08T15:30:25.842163,2024-06-20T14:38:48.990936,2024-01-08T15:33:40.927947,,"adulthood, autism spectrum disorder, disparities, first-time diagnosis, Latino, mental health",https://osf.io/preprints/psyarxiv/38sr6_v1/,N/A,N/A,"autis, asd, adult"
84jfz_v1,A narrative review to identify promising approaches for digital health interventions to support emotion regulation for adolescents with ADHD,"Background: Emotion regulation difficulties affect many adolescents with ADHD, and previous research has highlighted a need for accessible interven...",2023-12-07T14:04:39.289480,2024-07-24T07:33:59.425634,2023-12-07T14:12:38.319094,,"ADHD, adolescence, digital health intervention, emotion dysregulation, emotion regulation",https://osf.io/preprints/psyarxiv/84jfz_v1/,N/A,N/A,"adhd, app, adolescen"
qapfs_v1,Mismatching expressions: Spatiotemporal and kinematic differences in autistic and non-autistic facial expressions,"Preliminary studies are suggestive of differences in facial expressions between autistic and non-autistic individuals. However, it is unclear what ...",2023-11-14T09:48:38.491646,2024-06-20T15:17:04.029708,2023-11-14T09:50:42.066212,,"Autism, Emotion Expression, Emotion Recognition, Facial Expression, Kinematic, Spatial, Temporal",https://osf.io/preprints/psyarxiv/qapfs_v1/,N/A,N/A,autis
qxen6_v1,Irritability in Youth: A Critical Integrative Review,"Irritability, defined as proneness to anger that may reach an impairing extent, is common in youth. There has been a recent upsurge in relevant res...",2023-11-10T16:14:07.226519,2024-06-20T15:21:15.233006,2023-11-10T18:00:18.265962,,", Child/Adolescent Psychiatry, Depressive Disorders, Development, Disruptive Mood Dysregulation Disorder &lt; Depressive Disorders",https://osf.io/preprints/psyarxiv/qxen6_v1/,N/A,N/A,adolescen
mfc7z_v1,Individual differences in autism-like traits are associated with reduced goal emulation in a computational model of observational learning,"One's ability to infer the goals and intentions of others is crucial for social interactions, and such social capabilities are broadly distributed ...",2023-10-23T17:38:17.936724,2025-02-18T00:41:29.190622,2023-10-23T17:55:27.146499,10.1038/s44220-024-00287-1,"autism, computational psychiatry, goal emulation, individual differences, observational learning",https://osf.io/preprints/psyarxiv/mfc7z_v1/,N/A,N/A,autis
gfd6q_v1,Autistic adults’ perspectives and experiences of diagnostic assessments that include play across the lifespan,Play is often included in autism diagnostic assessments. These tend to focus on ‘deficits’ and non-autistic interpretation of observable behaviours...,2023-10-18T09:14:13.287812,2024-06-17T09:08:55.063957,2023-10-18T09:20:58.824086,10.1177/13623613241257601,"Assessment, Autism, Autistic perspectives, Diagnosis, Interpretative phenomenological analysis, Lived experience, Neurodiversity, Play, Qualitative research",https://osf.io/preprints/psyarxiv/gfd6q_v1/,N/A,N/A,"autis, adult"
p3sw6_v1,Positive attitudes towards ADHD among diagnosed individuals: Divergent influences across symptoms,"Background: Existing literature on adult attention-deficit/hyperactivity disorder (ADHD) predominantly emphasizes its negative aspects. However, re...",2023-09-18T06:45:09.317212,2024-06-20T15:17:20.346828,2023-09-18T07:16:02.209754,,"ADHD, Positive attitudes",https://osf.io/preprints/psyarxiv/p3sw6_v1/,N/A,N/A,"adhd, adult"
jnfdw_v1,Autistic traits foster effective curiosity-driven exploration,"Exploration involves actively engaging with the environment to acquire new knowledge. Here, we hypothesize that the cognitive mechanisms underlying...",2023-09-13T09:36:28.683073,2024-06-20T14:39:05.557787,2023-09-13T09:39:42.473943,,"Autistic Traits, Exploration, Hierarchical Bayesian modelling, Learning Progress, Prediction Errors",https://osf.io/preprints/psyarxiv/jnfdw_v1/,N/A,N/A,autis
3mebk_v1,"Stimulant medication and symptom interrelations in children, adolescents and adults with attention-deficit/hyperactivity disorder","Stimulant medication is effective in alleviating overall symptom severity of attention-deficit/hyperactivity disorder (ADHD), yet interindividual v...",2023-08-25T16:19:50.153113,2024-11-04T14:03:12.314327,2023-08-25T16:40:55.576754,,"attention-deficit/hyperactivity disorder, pharmacotherapy, symptomatology",https://osf.io/preprints/psyarxiv/3mebk_v1/,N/A,N/A,"adhd, adult, adolescen"
75unh_v1,Preprint_a_transdiagnostic_approach_to_neurodiversity_in_a_representative_population_sample_the_N+4_model_Updated_01_02_24,"Neurodevelopmental conditions show considerable phenotypic variability, and high rates of co-diagnosis. 995 adults from the UK completed self-repor...",2023-07-17T11:20:14.518571,2024-06-20T15:25:40.208496,2023-07-17T11:45:57.073849,,"ADHD, autism, Broader Phenotype, dyslexia, Neurodiversity, Transdiagnostic",https://osf.io/preprints/psyarxiv/75unh_v1/,N/A,N/A,"adhd, autis, app, adult"
us78c_v1,Prosopagnosia is highly comorbid in individuals with probable developmental coordination disorder (DCD),Developmental co-ordination disorder (DCD) is characterised by difficulties in motor control and coordination from early childhood. While problems ...,2023-07-14T12:47:31.708375,2024-10-11T12:51:00.399192,2023-07-14T12:57:07.462613,,"comorbid, co occurring, DCD, developmental coordination disorder, developmental disorders, dyspraxia, face memory, face perception, neurodiversity, prosopagnosia, visual perception",https://osf.io/preprints/psyarxiv/us78c_v1/,N/A,N/A,
d28u3_v1,Illuminating the daily life experiences of adolescents with and without ADHD: Protocol for an ecological momentary assessment study,"Introduction Adolescents with Attention-Deficit/Hyperactivity Disorder (ADHD) are at elevated risk of a range of difficulties, among which emotion ...",2023-06-29T12:30:45.801992,2024-06-20T15:10:39.101121,2023-06-29T12:37:13.129669,,,https://osf.io/preprints/psyarxiv/d28u3_v1/,N/A,N/A,"adhd, adolescen"
emn5u_v1,Social Media Shaping Autism Perception and Identity,This study investigated how autistic adults experienced using social media to find information about autism. There is little research on the mechan...,2023-06-23T15:21:37.372107,2024-06-20T14:46:21.682946,2023-06-23T15:39:22.510704,,"adults, autism, autistic identity, eHealth, information seeking behaviour, self-identification, self-representation, social media",https://osf.io/preprints/psyarxiv/emn5u_v1/,N/A,N/A,"autis, ehealth, adult"
cqe34_v1,Lingering on Distraction: Examining Distractor Rejection in Adults with ADHD,Effective visual search relies on reactively disengaging from distractors when the features of the distractors are unpredictable. Does this ability...,2023-05-27T10:36:58.938314,2024-04-24T17:27:55.599628,2023-05-27T10:45:30.971232,10.1080/13506285.2024.2328379,"ADHD, attentional capture, eye movements, reactive control, visual search",https://osf.io/preprints/psyarxiv/cqe34_v1/,N/A,N/A,"adhd, adult"
